Station,StationUniqueId,Id,Type,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,IsManagedByTfL,AskStaff,RadarKey,OpeningHours,OpensWithStation,ClosesWithStation,MonOpening1,MonClosing1,MonOpening2,MonClosing2,TueOpening1,TueClosing1,TueOpening2,TueClosing2,WedOpening1,WedClosing1,WedOpening2,WedClosing2,ThuOpening1,ThuClosing1,ThuOpening2,ThuClosing2,FriOpening1,FriClosing1,FriOpening2,FriClosing2,SatOpening1,SatClosing1,SatOpening2,SatClosing2,SunOpening1,SunClosing1,SunOpening2,SunClosing2,BankHolidayOpening1,BankHolidayClosing1,BankHolidayOpening2,BankHolidayClosing2
,910GACTONML,1,Unisex,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBHILLPK,1,Male,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBHILLPK,2,Female,FALSE,FALSE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBHILLPK,3,Unisex,TRUE,TRUE,TRUE,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBNHAM,1,Male,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBNHAM,2,Female,FALSE,FALSE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBNHAM,3,Unisex,TRUE,TRUE,TRUE,Located on platform 2,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBRTWOOD,1,Male,FALSE,FALSE,TRUE,"Located on platforms 2,3,4",FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBRTWOOD,2,Female,FALSE,TRUE,TRUE,"Located on platforms 2,3,4",FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GBRTWOOD,3,Unisex,TRUE,FALSE,TRUE,"Located on platforms 2,3,4",FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GCHDWLHT,1,Unisex,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,910GCHESHNT,1,Male,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
